T0: [-0.050000, 0.050000] [0.340000, 0.440000] [0.610000, 0.710000] [0.760000, 0.860000] [0.790000, 0.890000] [0.700000, 0.800000] [0.490000, 0.590000] [0.160000, 0.260000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T1: [0.145000, 0.245000] [0.280000, 0.379999] [0.549999, 0.649999] [0.700000, 0.800000] [0.730000, 0.830000] [0.640000, 0.740001] [0.430001, 0.530001] [0.220000, 0.320000] [0.055000, 0.155000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T2: [0.115000, 0.215000] [0.347499, 0.447499] [0.489999, 0.589999] [0.639999, 0.739999] [0.670000, 0.770000] [0.580001, 0.680001] [0.430001, 0.530001] [0.242501, 0.342501] [0.085000, 0.185000] [0.002500, 0.102500] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [0.047500, 0.147500] 
T3: [0.197499, 0.297499] [0.302499, 0.402499] [0.493749, 0.593749] [0.579999, 0.679999] [0.610000, 0.710000] [0.550001, 0.650001] [0.411251, 0.511251] [0.257501, 0.357501] [0.122500, 0.222501] [0.017500, 0.117500] [-0.023750, 0.076250] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.001250, 0.098750] [0.032500, 0.132500] 
T4: [0.167499, 0.267499] [0.345624, 0.445624] [0.441249, 0.541249] [0.551874, 0.651874] [0.565000, 0.665000] [0.510626, 0.610626] [0.403751, 0.503751] [0.266876, 0.366876] [0.137500, 0.237501] [0.049375, 0.149375] [-0.016250, 0.083750] [-0.036875, 0.063125] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.025625, 0.074375] [-0.008750, 0.091250] [0.098125, 0.198124] 
T5: [0.221874, 0.321874] [0.304374, 0.404374] [0.448749, 0.548749] [0.503124, 0.603124] [0.531250, 0.631250] [0.484376, 0.584376] [0.388751, 0.488751] [0.270626, 0.370626] [0.158126, 0.258126] [0.060625, 0.160626] [0.006250, 0.106250] [-0.033125, 0.066875] [-0.043438, 0.056563] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.037813, 0.062187] [-0.029375, 0.070625] [0.036250, 0.136250] [0.079375, 0.179374] 
T6: [0.191874, 0.291874] [0.335311, 0.435311] [0.403749, 0.503749] [0.489999, 0.589999] [0.493750, 0.593750] [0.460001, 0.560001] [0.377501, 0.477501] [0.273438, 0.373439] [0.165626, 0.265626] [0.082188, 0.182188] [0.013750, 0.113750] [-0.018594, 0.081406] [-0.041563, 0.058438] [-0.046719, 0.053281] [-0.050000, 0.050000] [-0.043906, 0.056094] [-0.039688, 0.060312] [-0.000781, 0.099219] [0.025000, 0.125000] [0.129062, 0.229062] 
T7: [0.232186, 0.332186] [0.297811, 0.397811] [0.412655, 0.512655] [0.448749, 0.548749] [0.475000, 0.575000] [0.435626, 0.535626] [0.366720, 0.466720] [0.271564, 0.371564] [0.177813, 0.277814] [0.089688, 0.189688] [0.031797, 0.131797] [-0.013906, 0.086094] [-0.032656, 0.067344] [-0.045781, 0.054219] [-0.045313, 0.054688] [-0.044844, 0.055156] [-0.022344, 0.077656] [-0.007344, 0.092656] [0.064140, 0.164140] [0.108437, 0.208437] 
T8: [0.203124, 0.303124] [0.322421, 0.422420] [0.373280, 0.473280] [0.443828, 0.543828] [0.442188, 0.542188] [0.420860, 0.520860] [0.353595, 0.453595] [0.272267, 0.372267] [0.180626, 0.280626] [0.104805, 0.204806] [0.037891, 0.137891] [-0.000430, 0.099571] [-0.029844, 0.070156] [-0.038984, 0.061016] [-0.045313, 0.054688] [-0.033828, 0.066172] [-0.026094, 0.073906] [0.020898, 0.120898] [0.050546, 0.150546] [0.148163, 0.248163] 
T9: [0.235292, 0.335292] [0.288202, 0.388202] [0.383124, 0.483124] [0.407734, 0.507734] [0.432344, 0.532344] [0.397891, 0.497892] [0.346563, 0.446564] [0.267110, 0.367111] [0.188536, 0.288536] [0.109258, 0.209259] [0.052188, 0.152188] [0.004024, 0.104024] [-0.019707, 0.080293] [-0.037578, 0.062422] [-0.036406, 0.063594] [-0.035703, 0.064297] [-0.006465, 0.093535] [0.012226, 0.112226] [0.084531, 0.184531] [0.126835, 0.226835] 
T10: [0.207519, 0.307518] [0.309208, 0.409208] [0.347968, 0.447968] [0.407734, 0.507734] [0.402813, 0.502813] [0.389454, 0.489454] [0.332501, 0.432501] [0.267550, 0.367550] [0.188184, 0.288185] [0.120362, 0.220362] [0.056641, 0.156641] [0.016240, 0.116241] [-0.016777, 0.083223] [-0.028057, 0.071943] [-0.036641, 0.063359] [-0.021436, 0.078564] [-0.011738, 0.088262] [0.039033, 0.139033] [0.069531, 0.169531] [0.159911, 0.259911] 
