T0: [-0.050000, 0.050000] [0.340000, 0.440000] [0.610000, 0.710000] [0.760000, 0.860000] [0.790000, 0.890000] [0.700000, 0.800000] [0.490000, 0.590000] [0.160000, 0.260000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T1: [0.145000, 0.245000] [0.280000, 0.379999] [0.549999, 0.649999] [0.700000, 0.800000] [0.730000, 0.830000] [0.640000, 0.740001] [0.430001, 0.530001] [0.220000, 0.320000] [0.055000, 0.155000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T2: [-0.050000, 0.050000] [0.339999, 0.439999] [0.609999, 0.709999] [0.759999, 0.860000] [0.790000, 0.890000] [0.700001, 0.800001] [0.490001, 0.590001] [0.160000, 0.260001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T3: [0.145000, 0.244999] [0.279999, 0.379998] [0.549998, 0.649998] [0.699999, 0.799999] [0.730000, 0.830000] [0.640001, 0.740002] [0.430002, 0.530002] [0.220001, 0.320001] [0.055000, 0.155000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T4: [-0.050001, 0.049999] [0.339998, 0.439999] [0.609998, 0.709998] [0.759998, 0.859999] [0.790000, 0.890001] [0.700001, 0.800002] [0.490002, 0.590002] [0.160001, 0.260001] [-0.050000, 0.050001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T5: [0.144999, 0.244999] [0.279998, 0.379997] [0.549997, 0.649997] [0.699998, 0.799998] [0.730001, 0.830001] [0.640002, 0.740003] [0.430003, 0.530004] [0.220001, 0.320002] [0.055000, 0.155000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T6: [-0.050001, 0.049999] [0.339997, 0.439998] [0.609996, 0.709997] [0.759998, 0.859999] [0.790000, 0.890001] [0.700002, 0.800003] [0.490002, 0.590004] [0.160001, 0.260002] [-0.050000, 0.050001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T7: [0.144999, 0.244998] [0.279997, 0.379996] [0.549996, 0.649995] [0.699998, 0.799998] [0.730001, 0.830001] [0.640003, 0.740004] [0.430004, 0.530005] [0.220002, 0.320003] [0.055000, 0.155001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T8: [-0.050001, 0.049999] [0.339997, 0.439997] [0.609995, 0.709996] [0.759997, 0.859998] [0.790000, 0.890002] [0.700003, 0.800005] [0.490003, 0.590005] [0.160002, 0.260003] [-0.050000, 0.050001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T9: [0.144999, 0.244998] [0.279996, 0.379994] [0.549995, 0.649994] [0.699997, 0.799997] [0.730001, 0.830001] [0.640004, 0.740005] [0.430005, 0.530006] [0.220003, 0.320004] [0.055000, 0.155001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T10: [-0.050001, 0.049999] [0.339996, 0.439996] [0.609994, 0.709995] [0.759996, 0.859998] [0.790000, 0.890002] [0.700004, 0.800006] [0.490004, 0.590006] [0.160002, 0.260003] [-0.049999, 0.050001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050001, 0.050000] 
